[32m[28-0937-2025 08:37:11:3711] info: 	Connected to MSsql server successfully[39m
[32m[28-0912-2025 11:12:02:122] info: 	🚀 Server running at http://localhost:8000...🚀[39m
[32m[28-0913-2025 11:13:15:1315] info: 	{"method":"OPTIONS","url":"/api/v1/auth/sign-up","status":"200","responseTime":"4.358ms"}[39m
[32m[28-0915-2025 11:15:42:1542] info: 	Connected to MSsql server successfully[39m
[32m[28-0915-2025 11:15:42:1542] info: 	Executing (default): SELECT 1+1 AS result[39m
[32m[28-0915-2025 11:15:43:1543] info: 	Executing (default): SELECT TABLE_NAME, TABLE_SCHEMA FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = N'users' AND TABLE_SCHEMA = N'dbo'[39m
[32m[28-0915-2025 11:15:43:1543] info: 	Executing (default): SELECT c.COLUMN_NAME AS 'Name', c.DATA_TYPE AS 'Type', c.CHARACTER_MAXIMUM_LENGTH AS 'Length', c.IS_NULLABLE as 'IsNull', COLUMN_DEFAULT AS 'Default', pk.CONSTRAINT_TYPE AS 'Constraint', COLUMNPROPERTY(OBJECT_ID('[' + c.TABLE_SCHEMA + '].[' + c.TABLE_NAME + ']'), c.COLUMN_NAME, 'IsIdentity') as 'IsIdentity', CAST(prop.value AS NVARCHAR) AS 'Comment' FROM INFORMATION_SCHEMA.TABLES t INNER JOIN INFORMATION_SCHEMA.COLUMNS c ON t.TABLE_NAME = c.TABLE_NAME AND t.TABLE_SCHEMA = c.TABLE_SCHEMA LEFT JOIN (SELECT tc.table_schema, tc.table_name,  cu.column_name, tc.CONSTRAINT_TYPE  FROM INFORMATION_SCHEMA.TABLE_CONSTRAINTS tc  JOIN INFORMATION_SCHEMA.KEY_COLUMN_USAGE  cu  ON tc.table_schema=cu.table_schema and tc.table_name=cu.table_name  and tc.constraint_name=cu.constraint_name  and tc.CONSTRAINT_TYPE='PRIMARY KEY') pk  ON pk.table_schema=c.table_schema  AND pk.table_name=c.table_name  AND pk.column_name=c.column_name  INNER JOIN sys.columns AS sc ON sc.object_id = OBJECT_ID('[' + t.TABLE_SCHEMA + '].[' + t.TABLE_NAME + ']') AND sc.name = c.column_name LEFT JOIN sys.extended_properties prop ON prop.major_id = sc.object_id AND prop.minor_id = sc.column_id AND prop.name = 'MS_Description' WHERE t.TABLE_NAME = 'users'[39m
[32m[28-0915-2025 11:15:43:1543] info: 	Executing (default): SELECT constraint_name = OBJ.NAME, constraintName = OBJ.NAME, constraintCatalog = 'Airwave-airtime-app-development', constraintSchema = SCHEMA_NAME(OBJ.SCHEMA_ID), tableName = TB.NAME, tableSchema = SCHEMA_NAME(TB.SCHEMA_ID), tableCatalog = 'Airwave-airtime-app-development', columnName = COL.NAME, referencedTableSchema = SCHEMA_NAME(RTB.SCHEMA_ID), referencedCatalog = 'Airwave-airtime-app-development', referencedTableName = RTB.NAME, referencedColumnName = RCOL.NAME FROM sys.foreign_key_columns FKC INNER JOIN sys.objects OBJ ON OBJ.OBJECT_ID = FKC.CONSTRAINT_OBJECT_ID INNER JOIN sys.tables TB ON TB.OBJECT_ID = FKC.PARENT_OBJECT_ID INNER JOIN sys.columns COL ON COL.COLUMN_ID = PARENT_COLUMN_ID AND COL.OBJECT_ID = TB.OBJECT_ID INNER JOIN sys.tables RTB ON RTB.OBJECT_ID = FKC.REFERENCED_OBJECT_ID INNER JOIN sys.columns RCOL ON RCOL.COLUMN_ID = REFERENCED_COLUMN_ID AND RCOL.OBJECT_ID = RTB.OBJECT_ID WHERE TB.NAME ='users'[39m
[32m[28-0915-2025 11:15:44:1544] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [username] NVARCHAR(255) NOT NULL;[39m
[32m[28-0915-2025 11:15:44:1544] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [email] NVARCHAR(255) NOT NULL;[39m
[32m[28-0915-2025 11:15:44:1544] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [password] NVARCHAR(255) NULL;[39m
[32m[28-0915-2025 11:15:44:1544] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [role] VARCHAR(255) CHECK ([role] IN(N'admin', N'user'));[39m
[31m[28-0915-2025 11:15:44:1544] error: 	Faiked to synchronized all models with database SequelizeDatabaseError: Incorrect syntax near the keyword 'CHECK'.[39m
[32m[28-0915-2025 11:15:44:1544] info: 	🚀 Server running at http://localhost:8000...🚀[39m
[32m[28-0915-2025 11:15:58:1558] info: 	Executing (default): INSERT INTO [users] ([id],[username],[email],[password],[role],[is_MFA_enabled],[createdAt],[updatedAt]) OUTPUT INSERTED.[id],INSERTED.[username],INSERTED.[email],INSERTED.[password],INSERTED.[role],INSERTED.[refresh_token],INSERTED.[avatar_url],INSERTED.[avatar_id],INSERTED.[verification_secret],INSERTED.[is_MFA_enabled],INSERTED.[createdAt],INSERTED.[updatedAt] VALUES (@0,@1,@2,@3,@4,@5,@6,@7);[39m
[32m[28-0915-2025 11:15:59:1559] info: 	{"method":"POST","url":"/api/v1/auth/sign-up","status":"200","responseTime":"1776.204ms"}[39m
[32m[28-097-2025 12:07:02:72] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-097-2025 12:07:03:73] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"816.761ms"}[39m
[32m[28-091-2025 13:01:42:142] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-091-2025 13:01:42:142] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"928.925ms"}[39m
[32m[28-0916-2025 13:16:52:1652] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0916-2025 13:16:54:1654] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2002.033ms"}[39m
[32m[28-0918-2025 13:18:52:1852] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0918-2025 13:18:53:1853] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"1548.345ms"}[39m
[32m[28-0922-2025 13:22:13:2213] info: 	Connected to MSsql server successfully[39m
[32m[28-0922-2025 13:22:13:2213] info: 	Executing (default): SELECT 1+1 AS result[39m
[32m[28-0922-2025 13:22:13:2213] info: 	Executing (default): SELECT TABLE_NAME, TABLE_SCHEMA FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = N'users' AND TABLE_SCHEMA = N'dbo'[39m
[32m[28-0922-2025 13:22:14:2214] info: 	Executing (default): SELECT c.COLUMN_NAME AS 'Name', c.DATA_TYPE AS 'Type', c.CHARACTER_MAXIMUM_LENGTH AS 'Length', c.IS_NULLABLE as 'IsNull', COLUMN_DEFAULT AS 'Default', pk.CONSTRAINT_TYPE AS 'Constraint', COLUMNPROPERTY(OBJECT_ID('[' + c.TABLE_SCHEMA + '].[' + c.TABLE_NAME + ']'), c.COLUMN_NAME, 'IsIdentity') as 'IsIdentity', CAST(prop.value AS NVARCHAR) AS 'Comment' FROM INFORMATION_SCHEMA.TABLES t INNER JOIN INFORMATION_SCHEMA.COLUMNS c ON t.TABLE_NAME = c.TABLE_NAME AND t.TABLE_SCHEMA = c.TABLE_SCHEMA LEFT JOIN (SELECT tc.table_schema, tc.table_name,  cu.column_name, tc.CONSTRAINT_TYPE  FROM INFORMATION_SCHEMA.TABLE_CONSTRAINTS tc  JOIN INFORMATION_SCHEMA.KEY_COLUMN_USAGE  cu  ON tc.table_schema=cu.table_schema and tc.table_name=cu.table_name  and tc.constraint_name=cu.constraint_name  and tc.CONSTRAINT_TYPE='PRIMARY KEY') pk  ON pk.table_schema=c.table_schema  AND pk.table_name=c.table_name  AND pk.column_name=c.column_name  INNER JOIN sys.columns AS sc ON sc.object_id = OBJECT_ID('[' + t.TABLE_SCHEMA + '].[' + t.TABLE_NAME + ']') AND sc.name = c.column_name LEFT JOIN sys.extended_properties prop ON prop.major_id = sc.object_id AND prop.minor_id = sc.column_id AND prop.name = 'MS_Description' WHERE t.TABLE_NAME = 'users'[39m
[32m[28-0922-2025 13:22:14:2214] info: 	Executing (default): SELECT constraint_name = OBJ.NAME, constraintName = OBJ.NAME, constraintCatalog = 'Airwave-airtime-app-development', constraintSchema = SCHEMA_NAME(OBJ.SCHEMA_ID), tableName = TB.NAME, tableSchema = SCHEMA_NAME(TB.SCHEMA_ID), tableCatalog = 'Airwave-airtime-app-development', columnName = COL.NAME, referencedTableSchema = SCHEMA_NAME(RTB.SCHEMA_ID), referencedCatalog = 'Airwave-airtime-app-development', referencedTableName = RTB.NAME, referencedColumnName = RCOL.NAME FROM sys.foreign_key_columns FKC INNER JOIN sys.objects OBJ ON OBJ.OBJECT_ID = FKC.CONSTRAINT_OBJECT_ID INNER JOIN sys.tables TB ON TB.OBJECT_ID = FKC.PARENT_OBJECT_ID INNER JOIN sys.columns COL ON COL.COLUMN_ID = PARENT_COLUMN_ID AND COL.OBJECT_ID = TB.OBJECT_ID INNER JOIN sys.tables RTB ON RTB.OBJECT_ID = FKC.REFERENCED_OBJECT_ID INNER JOIN sys.columns RCOL ON RCOL.COLUMN_ID = REFERENCED_COLUMN_ID AND RCOL.OBJECT_ID = RTB.OBJECT_ID WHERE TB.NAME ='users'[39m
[32m[28-0922-2025 13:22:16:2216] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [username] NVARCHAR(255) NOT NULL;[39m
[32m[28-0922-2025 13:22:16:2216] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [email] NVARCHAR(255) NOT NULL;[39m
[32m[28-0922-2025 13:22:16:2216] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [password] NVARCHAR(255) NULL;[39m
[32m[28-0922-2025 13:22:16:2216] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [role] VARCHAR(255) CHECK ([role] IN(N'admin', N'user'));[39m
[31m[28-0922-2025 13:22:17:2217] error: 	Faiked to synchronized all models with database SequelizeDatabaseError: Incorrect syntax near the keyword 'CHECK'.[39m
[32m[28-0922-2025 13:22:17:2217] info: 	🚀 Server running at http://localhost:8000...🚀[39m
[32m[28-0924-2025 13:24:18:2418] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0924-2025 13:24:20:2420] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2351.337ms"}[39m
[32m[28-0929-2025 13:29:55:2955] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0929-2025 13:29:57:2957] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2017.102ms"}[39m
[32m[28-0932-2025 13:32:19:3219] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0932-2025 13:32:20:3220] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2195.513ms"}[39m
[32m[28-0936-2025 13:36:39:3639] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0936-2025 13:36:41:3641] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2669.794ms"}[39m
[32m[28-0939-2025 13:39:09:399] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0939-2025 13:39:11:3911] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2204.788ms"}[39m
[32m[28-0940-2025 13:40:03:403] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0940-2025 13:40:04:404] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"1845.159ms"}[39m
[32m[28-0940-2025 13:40:11:4011] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0940-2025 13:40:13:4013] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"2037.313ms"}[39m
[32m[28-0941-2025 13:41:27:4127] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0941-2025 13:41:29:4129] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"1801.982ms"}[39m
[32m[28-0943-2025 13:43:56:4356] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0943-2025 13:43:58:4358] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"403","responseTime":"1871.708ms"}[39m
[32m[28-0949-2025 13:49:46:4946] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0949-2025 13:49:49:4949] info: 	Executing (default): UPDATE [users] SET [refresh_token]=@0,[updatedAt]=@1 WHERE [id] = @2[39m
[32m[28-0949-2025 13:49:49:4949] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"200","responseTime":"2911.596ms"}[39m
[32m[28-098-2025 15:08:13:813] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-098-2025 15:08:14:814] info: 	Executing (default): UPDATE [users] SET [refresh_token]=@0,[updatedAt]=@1 WHERE [id] = @2[39m
[32m[28-098-2025 15:08:14:814] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"200","responseTime":"1117.292ms"}[39m
[32m[28-0913-2025 15:13:59:1359] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0914-2025 15:14:00:140] info: 	Executing (default): UPDATE [users] SET [refresh_token]=@0,[updatedAt]=@1 WHERE [id] = @2[39m
[32m[28-0914-2025 15:14:00:140] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"200","responseTime":"936.682ms"}[39m
[32m[28-0917-2025 15:17:27:1727] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0917-2025 15:17:28:1728] info: 	Executing (default): UPDATE [users] SET [refresh_token]=@0,[updatedAt]=@1 WHERE [id] = @2[39m
[32m[28-0917-2025 15:17:28:1728] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"200","responseTime":"1071.769ms"}[39m
[32m[28-0918-2025 15:18:29:1829] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
[32m[28-0918-2025 15:18:30:1830] info: 	Executing (default): UPDATE [users] SET [refresh_token]=@0,[updatedAt]=@1 WHERE [id] = @2[39m
[32m[28-0918-2025 15:18:30:1830] info: 	{"method":"POST","url":"/api/v1/auth/sign-in","status":"200","responseTime":"874.745ms"}[39m
[32m[28-0924-2025 15:24:39:2439] info: 	Executing (default): INSERT INTO [users] ([id],[username],[email],[password],[role],[is_MFA_enabled],[createdAt],[updatedAt]) OUTPUT INSERTED.[id],INSERTED.[username],INSERTED.[email],INSERTED.[password],INSERTED.[role],INSERTED.[refresh_token],INSERTED.[avatar_url],INSERTED.[avatar_id],INSERTED.[verification_secret],INSERTED.[is_MFA_enabled],INSERTED.[createdAt],INSERTED.[updatedAt] VALUES (@0,@1,@2,@3,@4,@5,@6,@7);[39m
[31m[28-0924-2025 15:24:39:2439] error: 	Invalid object name 'users'.[39m
[32m[28-0924-2025 15:24:39:2439] info: 	{"method":"POST","url":"/api/v1/auth/sign-up","status":"500","responseTime":"803.602ms"}[39m
[32m[28-0925-2025 15:25:19:2519] info: 	Connected to MSsql server successfully[39m
[32m[28-0925-2025 15:25:19:2519] info: 	Executing (default): SELECT 1+1 AS result[39m
[32m[28-0925-2025 15:25:19:2519] info: 	Executing (default): SELECT TABLE_NAME, TABLE_SCHEMA FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = N'users' AND TABLE_SCHEMA = N'dbo'[39m
[32m[28-0925-2025 15:25:19:2519] info: 	Executing (default): IF OBJECT_ID('[users]', 'U') IS NULL CREATE TABLE [users] ([id] CHAR(36) NOT NULL , [username] NVARCHAR(255) NOT NULL, [email] NVARCHAR(255) NOT NULL, [password] NVARCHAR(255) NULL, [role] VARCHAR(255) CHECK ([role] IN(N'admin', N'user')), [refresh_token] NVARCHAR(255) NULL, [avatar_url] NVARCHAR(255) NULL, [avatar_id] NVARCHAR(255) NULL, [verification_secret] NVARCHAR(255) NULL, [is_MFA_enabled] BIT DEFAULT 0, [createdAt] DATETIMEOFFSET NOT NULL, [updatedAt] DATETIMEOFFSET NOT NULL, PRIMARY KEY ([id]));[39m
[32m[28-0925-2025 15:25:19:2519] info: 	Executing (default): EXEC sys.sp_helpindex @objname = N'[users]';[39m
[32m[28-0925-2025 15:25:19:2519] info: 	Executing (default): CREATE UNIQUE INDEX [users_email_username] ON [users] ([email], [username])[39m
[32m[28-0925-2025 15:25:19:2519] info: 	All models synchronized with database successfully[39m
[32m[28-0925-2025 15:25:19:2519] info: 	🚀 Server running at http://localhost:8000...🚀[39m
[32m[28-0925-2025 15:25:41:2541] info: 	Executing (default): INSERT INTO [users] ([id],[username],[email],[password],[role],[is_MFA_enabled],[createdAt],[updatedAt]) OUTPUT INSERTED.[id],INSERTED.[username],INSERTED.[email],INSERTED.[password],INSERTED.[role],INSERTED.[refresh_token],INSERTED.[avatar_url],INSERTED.[avatar_id],INSERTED.[verification_secret],INSERTED.[is_MFA_enabled],INSERTED.[createdAt],INSERTED.[updatedAt] VALUES (@0,@1,@2,@3,@4,@5,@6,@7);[39m
[32m[28-0925-2025 15:25:41:2541] info: 	{"method":"POST","url":"/api/v1/auth/sign-up","status":"200","responseTime":"979.536ms"}[39m
[32m[28-0926-2025 15:26:02:262] info: 	Executing (default): SELECT [id], [username], [email], [password], [role], [refresh_token], [avatar_url], [avatar_id], [verification_secret], [is_MFA_enabled], [createdAt], [updatedAt] FROM [users] AS [User] WHERE [User].[username] = N'evan21' ORDER BY [User].[id] OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY;[39m
